PlayerId,DraftSeason,CollegePosition,ProPosition,FirstName,LastName,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,Test,TestAttempt,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,BodyFat,LeanMass,IndyInvite
46046,2015,QB,QB,JEFFREY,ARMSTRONG,72.5,217,23.9,5.08,31,9.25,73.125,23,30,1.81,2.98,6.99,30.5,8.1,4.34,NULL,11,NULL,NULL,N
22023,2013,OLB,OLB,JOVAN,BURD,73.25,233,23.3,4.68,31.875,9.125,77.75,NULL,NULL,1.69,2.71,7.11,35.5,11.03,4.19,11.75,18,NULL,NULL,N
23278,2012,RB,RB,JORDAN,CHICHESTER,70,207,22.2,4.55,30.125,9.875,76.125,27,34,1.55,2.66,7,37,9.1,4.32,11.81,19,NULL,NULL,N
84453,2013,OG,OG,RICHARD,NATIONS,75.25,320,21.9,5.06,34.125,10,82.125,22,27,1.79,2.97,7.45,NULL,NULL,4.63,NULL,27,22.2,249.209,Y
76441,2013,WR,WR,TAYLOR,HAWKINS,71.13,206,22,4.38,31.25,9.25,75.375,23,30,1.6,2.57,6.68,34,10.11,4.1,11.26,22,10.6,184.145,Y
43965,2012,RB,RB,TYRELL,HODGES,68.75,180,24.2,4.34,30.75,9.5,73.625,11,22,1.5,2.44,6.5,36.5,10,3.93,11.06,16,12.5,157.151,Y
32675,2014,RB,RB,JEFFREY,TOMLINSON,71.38,209,22.5,4.65,32,9.25,76.25,19,24,1.7,2.71,7.18,30.5,9.07,4.41,11.89,11,NULL,NULL,N
43071,2015,RB,WR,PRINCETON,MURPHY,69.88,195,24,4.54,30.625,9.75,74,9,28,1.67,2.64,6.81,32.5,9.07,4.19,11.57,16,NULL,NULL,N
50292,2013,PT,PT,CHARLES,BARDEN,73.5,229,23.2,NULL,32.5,9.625,77,27,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.6,173.052,Y
44497,2012,WR,WR,BRANDON,SMITH,70,180,22.7,4.56,30,8.625,71,NULL,NULL,1.59,2.66,6.82,38.5,10.03,4.12,11.34,12,NULL,NULL,N
25294,2015,OG,OT,TAYLOR,ROBINSON,80.5,355,22.1,5.24,36,10.875,87.375,18,35,1.87,2.97,8.23,23.5,8.01,4.78,NULL,20,26.8,260.136,Y
68352,2013,RB,RB,ZACHARY,MITCHELL,70.25,213,22.8,4.67,29.5,9.375,73.625,12,28,1.55,2.62,7.32,37,10.01,4.32,11.9,21,NULL,NULL,N
97635,2014,RB,RB,JORDAN,SHAW,70,213,23.7,4.65,29.25,9.625,72,24,33,1.6,2.76,6.92,38,10,4.13,11.27,21,NULL,NULL,N
46522,2015,OT,OC,JORDAN,RACITI,74.5,292,23.6,5.42,31,8.5,78.75,27,36,1.92,3.16,7.71,27,8.05,4.63,NULL,20,NULL,NULL,N
29081,2012,TE,FB,ADAM,PAGE,73.75,259,24.1,4.78,30.125,9.25,75.375,NULL,NULL,1.68,2.84,7.05,27.5,8.1,4.52,NULL,21,NULL,NULL,N
19051,2012,ILB,ILB,TYRANN,ROUNDTREE,72.88,239,23.1,4.96,32.75,9.75,78,NULL,NULL,1.73,2.78,7.32,26.5,9.02,4.53,NULL,22,NULL,NULL,N
18538,2012,DT,DT,JAMES,WANG,73.75,283,22.5,5.33,31.875,8.75,74.75,14,23,1.7,2.92,4.69,29.5,9.03,7.58,NULL,26,NULL,NULL,N
